Oryctolagus_cuniculus_291391182,Oryctolagus cuniculus,9986,ORYCCUNI0
O_microlepidotus_71725669,Oxyuranus microlepidotus,111177,OXYUMICR0
O_microlepidotus_73346655,Oxyuranus microlepidotus,111177,OXYUMICR0
O_microlepidotus_76886010,Oxyuranus microlepidotus,111177,OXYUMICR0
O_microlepidotus_76886012,Oxyuranus microlepidotus,111177,OXYUMICR0
Oxyuranus_microlepidotus_239618536,Oxyuranus microlepidotus,111177,OXYUMICR0
O_scutellatus_71725667,Oxyuranus scutellatus,8668,OXYUSCUT0
O_scutellatus_68304015,Oxyuranus scutellatus,8668,OXYUSCUT0
O_scutellatus_71725726,Oxyuranus scutellatus,8668,OXYUSCUT0
Oxyuranus_scutellatus_239618538,Oxyuranus scutellatus,8668,OXYUSCUT0
P_troglodytes_332868495,Pan troglodytes,9598,PANTROG0
Pan_troglodytes_60115697,Pan troglodytes,9598,PANTROG0
P_olfersii_114438253,Philodryas olfersii,120305,PHILOLFE0
P_olfersii_73346686,Philodryas olfersii,120305,PHILOLFE0
P_olfersii_114438238,Philodryas olfersii,120305,PHILOLFE0
P_olfersii_73348383,Philodryas olfersii,120305,PHILOLFE0
P_olfersii_73348307,Philodryas olfersii,120305,PHILOLFE0
P_olfersii_73348403,Philodryas olfersii,120305,PHILOLFE0
P_olfersii_73348349,Philodryas olfersii,120305,PHILOLFE0
P_olfersii_73348246,Philodryas olfersii,120305,PHILOLFE0
Philodryas_olfersii_156485277,Philodryas olfersii,120305,PHILOLFE0
Pogona_barbata_73347453,Pogona barbata,52202,POGOBARB0
P_abelii_297678315,Pongo abelii,9601,PONGABEL0
P_abelii_297681389,Pongo abelii,9601,PONGABEL0
Pongo_abelii_297683785,Pongo abelii,9601,PONGABEL0
Praomys_natalensis_202514,Mastomys natalensis,10112,MASTNATA0
P_elegans_15991221,Protobothrops elegans,88086,PROTELEG0
Protobothrops_flavoviridis_1402641,Trimeresurus flavoviridis,88087,TRIMFLAV0
P_jerdonii_9988778,Protobothrops jerdonii,242841,PROTJERD0
T_jerdonii_30171826,Protobothrops jerdonii,242841,PROTJERD0
P_mucrosquamatus_602601,Protobothrops mucrosquamatus,103944,PROTMUCR0
T_mucrosquamatus_1778012,Protobothrops mucrosquamatus,103944,PROTMUCR0
P_mossambicus_156485215,Psammophis mossambicus,234064,PSAMMOSS0
P_australis_23264041,Pseudechis australis,8670,PSEUAUST0
P_australis_68304019,Pseudechis australis,8670,PSEUAUST0
P_australis_76886026,Pseudechis australis,8670,PSEUAUST0
P_australis_76886028,Pseudechis australis,8670,PSEUAUST0
P_australis_76886030,Pseudechis australis,8670,PSEUAUST0
Pseudechis_australis_239618542,Pseudechis australis,8670,PSEUAUST0
P_porphyriacus_23264043,Pseudechis porphyriacus,8671,PSEUPORP0
P_porphyriacus_76886024,Pseudechis porphyriacus,8671,PSEUPORP0
Pseudechis_porphyriacus_239618540,Pseudechis porphyriacus,8671,PSEUPORP0
Pseudo_textilis_145699566,Pseudonaja textilis,8673,PSEUTEXT0
P_textilis_71725671,Pseudonaja textilis,8673,PSEUTEXT0
P_textilis_76886014,Pseudonaja textilis,8673,PSEUTEXT0
P_textilis_76886016,Pseudonaja textilis,8673,PSEUTEXT0
Pseudonaja_textilis_239618534,Pseudonaja textilis,8673,PSEUTEXT0
O_apodus_300872826,Pseudopus apodus,672774,PSEUAPOD0
P_molurus_contig02483,Python molurus,51750,PYTHMOLU0
Python_molurus_contig04514,Python molurus,51750,PYTHMOLU0
Python_molurus_contig15144,Python molurus,51750,PYTHMOLU0
